Land/Sea,ERA5Year,ERA5Month,ERA5Day,ERA5Hour,MODIS_Day,MODIS_Hour,MODIS_Minute,VIIRSDay,VIIRSHour,VIIRSMinute,iPos,jPos,DeltaTime1,DeltaTime2,B1_MODIS,B2_MODIS,B3_MODIS,B4_MODIS,B5_MODIS,B6_MODIS,B7_MODIS,B8_MODIS,B9_MODIS,B10_MODIS,B11_MODIS,B12_MODIS,B13_MODIS,B14_MODIS,B15_MODIS,B16_MODIS,B17_MODIS,B18_MODIS,B19_MODIS,B1_VIIRS,B2_VIIRS,B3_VIIRS,B4_VIIRS,B5_VIIRS,B6_VIIRS,B7_VIIRS,B8_VIIRS,B9_VIIRS,B10_VIIRS,B11_VIIRS,VZA_MODIS,VAA_MODIS,SZA_MODIS,SAA_MODIS,CLM_MODIS,VZA_VIIRS,VAA_VIIRS,SZA_VIIRS,SAA_VIIRS,CLM_VIIRS,NDVI,dTime
L,2021,03,08,10,8,10,21,8,10,15,329,175,22.0,15.0,101.7265625,87.8838577,84.1422806,83.3048782,52.8559418,28.4889030,8.8064861,79.9402008,80.9110870,78.5726700,76.9451752,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,65.4572830,83.9240417,82.3672409,85.5490189,90.4655457,114.5966492,0.0000000,95.2257996,56.0471001,0.0854837,31.0320415,7.2368116,31.2,81.9,20.8,-126.4,4.00,19.2,81.1,19.4,-129.4,4.00,0.12,415.9,
L,2021,03,08,10,8,10,21,8,10,15,329,176,22.0,15.0,93.9228287,83.0700302,76.5236053,72.4654999,50.9820023,27.3213120,8.4393158,75.7093201,74.8445969,70.5647583,67.5874939,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,62.6822281,79.9646683,76.3315964,76.9710541,78.9054108,106.7794189,0.0000000,90.0761185,54.1983032,0.0868768,29.7545681,7.0542173,29.2,81.2,21.0,-126.0,4.00,17.2,80.0,19.6,-128.9,4.00,0.13,415.9,
L,2021,03,08,10,8,10,21,8,10,15,329,177,22.0,15.0,78.8945541,73.2523422,65.5473709,56.4786186,46.4583778,24.3979645,7.6954899,69.5272751,66.2221298,58.8336334,53.3821449,55.7838364,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,56.5613632,73.6126328,67.1010284,63.6929398,61.0833817,89.5768127,0.0000000,78.6264114,48.9916077,0.0908554,26.5868683,6.5077109,27.3,82.3,21.2,-125.6,4.00,15.3,82.1,19.8,-128.5,4.00,0.17,415.9,
L,2021,03,08,10,8,10,21,8,10,15,329,178,22.0,15.0,74.4287720,68.7532501,64.8556824,53.7715340,45.4463921,24.1673355,7.4769244,69.6585541,66.0282288,57.8729858,51.5495872,53.3536530,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,53.5183945,74.0189896,67.0366898,62.6997566,58.2134132,84.2544022,0.0000000,73.5285187,47.7834778,0.0979636,26.0923634,6.2939744,25.3,81.8,21.4,-125.2,4.00,13.3,80.8,20.0,-128.0,4.00,0.17,416.6,
L,2021,03,08,10,8,10,21,8,10,15,329,179,21.9,15.0,83.3084183,78.3071823,64.8109970,54.5474854,52.0801582,27.9348965,9.0106421,69.8801346,66.0527420,57.8391380,51.7059479,53.8878860,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,60.7942238,74.5739517,67.0956192,62.5194855,58.5476074,94.2300491,0.0000000,82.5965500,53.9753456,0.1084274,29.7091694,7.5283670,23.2,80.9,21.6,-124.8,4.00,11.2,79.1,20.2,-127.6,4.00,0.17,416.6,
L,2021,03,08,10,8,10,21,8,10,14,329,180,21.9,15.0,85.8413544,79.8424683,65.9637909,55.9251213,53.5131607,28.7387733,9.2941360,70.8884048,67.0661697,59.0348206,52.9377785,55.2464867,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,61.8768578,76.0146866,68.5197449,64.0355606,60.1943893,97.2855453,0.0000000,84.2539215,55.3761826,0.1104453,30.7124176,7.7675471,21.0,82.2,21.8,-124.4,4.00,9.2,82.6,20.4,-127.2,4.00,0.17,416.6,
L,2021,03,08,10,8,10,21,8,10,14,329,181,21.9,15.0,84.8927765,80.4168854,66.7553024,56.6459885,54.0706139,28.9933376,9.1796856,71.4093933,67.7157516,59.9937363,53.9437332,56.1397209,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,62.4350433,76.9225845,69.5876465,65.3691177,61.3357697,96.5792618,0.0000000,85.1147995,56.0836906,0.1111628,30.8331470,7.6930647,18.9,81.4,22.0,-124.0,4.00,7.2,80.3,20.6,-126.7,4.00,0.17,416.6,
L,2021,03,08,10,8,10,21,8,10,14,329,182,21.9,15.0,78.5704575,75.3100357,65.5062103,53.6480179,51.5186501,27.7266693,8.6601629,71.1621780,66.9742203,58.4515495,51.6788750,53.3372726,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,58.0239830,77.0592575,69.2618713,64.2022552,58.7554092,90.3702240,0.0000000,80.4301987,53.8171120,0.1136617,29.5970688,7.3192496,16.6,80.2,22.2,-123.6,4.00,5.1,86.6,20.8,-126.3,4.00,0.18,416.6,
L,2021,03,08,10,8,10,21,8,10,14,329,183,21.9,15.0,75.0745850,71.8697968,65.7751541,53.0413857,49.6286545,26.6928959,8.2167702,71.7202759,67.4030685,58.6184654,51.5148544,52.9101601,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,54.9883919,77.8789368,69.9869537,64.6999054,58.5659866,86.9406815,0.0000000,77.3377228,52.2172318,0.1043852,28.8284206,6.9944901,14.3,82.2,22.4,-123.3,4.00,3.0,84.9,21.0,-125.9,4.00,0.19,416.6,
L,2021,03,08,10,8,10,21,8,10,14,329,184,21.9,14.9,72.6340179,69.7015381,65.4923019,52.0320053,48.6492081,26.1751423,8.0661888,71.7791061,67.3005447,58.2043571,50.8240089,52.0140991,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,53.5601578,78.1668701,70.0925446,64.4376373,57.6860542,84.3233414,0.0000000,75.1931000,51.2381973,0.0943892,28.3412666,6.8661413,11.9,80.7,22.6,-122.9,4.00,0.9,70.8,21.2,-125.5,4.00,0.19,416.6,
L,2021,03,08,10,8,10,21,8,10,14,330,175,21.9,15.0,91.6773376,80.3350220,82.8614197,79.0736389,48.6841393,26.0824757,7.8858261,79.7031479,80.1567078,76.9465408,73.8253937,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,60.0042229,83.5617905,81.6327591,84.0055618,86.5011139,103.9620514,0.0000000,88.0084763,51.9802170,0.0796248,28.6570244,6.5491433,31.6,80.7,20.6,-125.9,3.97,19.6,80.3,19.3,-128.9,3.97,0.14,416.6,
L,2021,03,08,10,8,10,21,8,10,14,330,176,21.9,15.0,93.7376862,83.1094437,82.7446594,79.3986053,51.3193779,27.3890800,8.0457039,79.4616394,80.0013275,76.9678040,74.4447937,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,62.6942749,84.2054825,82.3974686,85.0011520,87.8366089,107.1836548,0.0000000,91.6141434,55.3106194,0.0838126,30.3608265,6.7894220,29.7,81.8,20.8,-125.5,4.00,17.7,81.9,19.5,-128.4,4.00,0.14,416.6,
L,2021,03,08,10,8,10,21,8,10,14,330,177,21.9,14.9,85.2869339,77.5127640,73.6984558,67.3393021,48.5769997,25.7541065,7.8022671,74.1472015,72.7519379,67.4793549,63.5345001,61.8401413,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,59.3572693,78.8106766,74.5989304,74.1602783,74.0667267,97.1479187,0.0000000,84.3875275,51.8236618,0.0874593,28.2378464,6.6129189,27.8,81.1,21.0,-125.1,4.00,15.7,81.0,19.7,-128.0,4.00,0.15,416.6,
L,2021,03,08,10,8,10,21,8,10,14,330,178,21.9,14.9,72.9442139,70.1262817,64.1137695,52.1619263,46.9190712,24.8764458,7.6435132,69.3142624,65.5167618,57.0504303,50.4023743,51.8603249,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,54.1655769,73.5755768,66.3805923,61.7151260,56.4339447,83.1619415,0.0000000,75.0661240,49.2728119,0.0862678,26.9228134,6.5075507,25.7,82.2,21.2,-124.7,4.00,13.7,79.6,19.9,-127.5,4.00,0.19,416.6,
L,2021,03,08,10,8,10,21,8,10,14,330,179,21.9,14.9,75.5290680,72.0593109,63.5664253,51.3950005,49.1846619,26.2623730,8.3233166,69.4077911,65.2322540,56.4463463,49.5604095,51.0293846,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,55.6774178,74.0201111,66.3260422,61.1041832,55.5425797,86.2815018,0.0000000,76.6908264,51.2671356,0.0905895,28.3113022,7.0025434,23.6,81.6,21.4,-124.3,4.00,11.8,82.3,20.0,-127.1,4.00,0.18,417.3,
L,2021,03,08,10,8,10,21,8,10,14,330,180,21.9,14.9,76.5311050,72.2472992,64.5039444,52.7110138,49.1159477,26.3161755,8.1752663,70.1167374,66.0153580,57.4150162,50.7058296,52.3343582,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,55.6558838,75.1875763,67.5473709,62.5021172,57.2598763,87.4734344,0.0000000,77.0121536,51.3522072,0.0947592,28.2637386,6.8524776,21.5,80.7,21.6,-123.9,4.00,9.7,80.8,20.2,-126.7,4.00,0.18,416.6,
L,2021,03,08,10,8,10,21,8,10,14,330,181,21.9,14.9,75.4421158,73.0192566,65.6008148,53.5224838,49.2395058,26.0443401,7.8122253,70.9918823,67.0069885,58.5209770,51.7797127,53.3111649,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,56.1725731,76.4906693,68.9771194,64.1260147,58.6189766,86.5768509,0.0000000,78.3451843,51.6945457,0.1005683,28.0130787,6.6038685,19.3,82.0,21.8,-123.5,4.00,7.6,78.2,20.4,-126.2,4.00,0.19,416.6,
L,2021,03,08,10,8,10,21,8,10,14,330,182,21.8,14.9,74.3201599,72.4867172,66.7432785,54.1237755,49.7395401,26.4132004,7.8890033,72.0072403,68.1028137,59.5970993,52.7018433,54.0762367,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,55.5469780,77.8148346,70.3730011,65.5298767,59.5487938,85.7011108,0.0000000,77.9568634,52.3313599,0.1053805,28.5992889,6.7173963,17.0,81.2,22.0,-123.2,4.00,5.5,83.8,20.6,-125.8,4.00,0.20,416.6,
L,2021,03,08,10,8,10,21,8,10,14,330,183,21.8,14.9,76.0178909,73.4517059,69.5527267,57.5922661,50.0575752,26.5506458,7.5966349,73.5002823,70.2408447,62.7514343,56.2638702,57.7134552,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,56.0651932,79.7179947,73.0510101,69.3007736,63.6277199,87.7394104,0.0000000,79.1150360,52.7251701,0.1076407,28.6467800,6.5031567,14.9,82.9,22.2,-122.8,4.00,3.4,79.5,20.8,-125.4,4.00,0.20,416.6,
L,2021,03,08,10,8,10,21,8,10,14,331,178,21.8,14.9,63.2739983,61.8639297,63.0790405,49.6225929,42.1178741,22.2144718,6.5609422,68.8006668,64.7660446,55.8777542,48.7138252,49.6044350,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,47.8260536,73.0348129,65.8439102,60.7654076,54.4208450,72.9492874,0.0000000,67.4912643,44.8456230,0.0881177,24.3497066,5.6673746,26.2,80.9,21.0,-124.2,4.00,14.2,82.2,19.7,-127.0,3.98,0.20,416.6,
L,2021,03,08,10,8,10,21,8,10,14,331,179,21.8,14.9,66.7942963,64.9254837,63.4752808,49.9314041,45.4149170,24.4733887,7.2404914,69.4037552,65.2538910,56.2111664,48.9611740,49.8905525,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,49.9890404,73.9489136,66.4100494,61.0725021,54.4690666,76.8284073,0.0000000,70.1347427,47.9087143,0.0911208,26.4827652,6.1714654,24.1,82.3,21.3,-123.8,4.00,12.2,81.1,19.9,-126.6,4.00,0.20,417.3,
L,2021,03,08,10,8,10,21,8,10,14,331,180,21.8,14.8,69.5774384,68.3892288,64.8801422,51.9317360,47.5799980,25.3201752,7.3983698,70.2889557,66.4268494,57.7473373,50.8012199,51.9256973,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,52.2421989,75.2572174,67.9680939,63.0650558,56.9070435,80.3055115,0.0000000,73.8807449,50.1854019,0.0927982,27.4408703,6.2891722,22.0,81.2,21.5,-123.4,4.00,10.1,79.2,20.1,-126.1,4.00,0.21,416.6,
L,2021,03,08,10,8,10,21,8,10,14,331,181,21.8,14.8,70.3744202,69.4614182,66.3142166,53.5019188,47.4069138,24.9367065,7.0360322,71.2935028,67.5692139,59.2484322,52.3939018,53.4477615,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,52.7822685,76.8150787,69.7215347,65.1883850,59.1264915,81.7435608,0.0000000,75.5453720,50.2913704,0.0962837,26.9932060,6.0395465,19.8,80.4,21.7,-123.0,4.00,8.1,82.9,20.3,-125.7,4.00,0.21,417.3,
L,2021,03,08,10,8,10,21,8,10,14,331,182,21.8,14.8,75.1336136,72.0898285,67.2752838,55.2724266,49.0944939,26.0833912,7.5799928,72.2353592,68.4564667,60.2852364,53.6604691,55.1892052,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,54.4694824,78.1360550,70.9146194,66.4063950,60.9309196,86.5627899,0.0000000,77.6576157,51.6549759,0.1047057,28.0778484,6.4078927,17.6,81.8,21.9,-122.7,4.00,6.0,80.2,20.5,-125.3,4.00,0.20,417.3,
L,2021,03,08,10,8,10,21,8,10,14,331,183,21.8,14.8,83.6924896,79.9297943,70.4703369,60.9607811,54.4342270,28.9846268,8.3593092,73.3982620,70.6387558,64.0761642,58.6726761,60.8374825,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,60.2870026,79.5955276,73.3962326,70.4727325,66.6734695,95.8406601,0.0000000,85.2297211,56.7456551,0.1080064,30.9438381,7.0407286,15.3,80.5,22.1,-122.3,4.00,3.9,75.4,20.7,-124.9,4.00,0.19,417.3,
L,2021,03,08,10,8,10,21,8,10,14,331,184,21.8,14.8,82.6563187,77.8098984,73.0365982,62.9506607,53.0502472,28.5963173,8.1089945,75.5033569,72.9885788,66.6591873,61.0377998,62.8281898,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,58.5686836,82.1755829,76.2947006,73.7864075,69.4992905,95.1014786,0.0000000,83.7063599,55.7221756,0.1036219,30.7118530,6.9262419,13.1,82.8,22.3,-121.9,4.00,1.8,87.2,20.9,-124.5,4.00,0.18,417.3,
L,2021,03,08,10,8,10,21,8,10,14,332,178,21.7,14.8,65.3475647,63.6248550,68.5115738,56.4758377,41.7857819,22.0054607,6.1354103,72.1613846,69.2444077,61.5523643,55.2909203,56.6128693,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,48.5723534,76.6397934,70.8042450,67.6098862,62.8091011,75.5841522,0.0000000,70.5329132,45.2864418,0.0822667,24.4325905,5.3332276,26.7,81.3,20.9,-123.6,3.97,14.7,81.1,19.5,-126.5,3.83,0.21,416.6,
L,2021,03,08,10,8,10,21,8,10,14,332,179,21.7,14.8,60.7028542,60.1537819,63.9975967,49.5088463,40.8477936,21.5499496,6.0784578,69.9768448,65.8508911,56.6063309,49.1131325,49.7008858,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,45.6154861,74.4357529,67.0176010,61.6690216,54.4550362,70.2023621,0.0000000,65.9206161,43.7658234,0.0832424,23.5855045,5.2952566,24.5,80.7,21.1,-123.3,4.00,12.6,79.8,19.7,-126.0,3.99,0.22,417.3,
L,2021,03,08,10,8,10,21,8,10,14,332,180,21.7,14.8,63.8285866,63.9328499,65.8902283,52.2945976,43.7591362,23.0458393,6.2849436,70.9578323,67.2496567,58.7536964,51.7190971,52.5301781,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,48.2396774,75.9296188,69.0009766,64.3418732,57.6564484,73.8923569,0.0000000,69.9059372,46.5517578,0.0893162,25.0465908,5.4477997,22.4,82.1,21.3,-122.9,4.00,10.6,82.8,19.9,-125.6,4.00,0.23,417.3,
L,2021,03,08,10,8,10,21,8,10,14,332,181,21.7,14.8,71.8023453,70.4348526,68.4948044,56.6155128,48.5197029,25.6774464,7.0950737,72.4268494,69.2443085,61.6810532,55.3889503,56.7469444,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,52.6539459,77.8449173,71.3668289,67.6215210,62.1920547,82.6974716,0.0000000,76.0643997,51.0911407,0.0967957,27.6176758,6.0398493,20.3,80.9,21.5,-122.5,4.00,8.5,80.8,20.1,-125.2,4.00,0.21,417.3,
L,2021,03,08,10,8,10,21,8,10,14,332,182,21.7,14.8,77.1914597,73.8340836,70.3067017,59.2119637,51.0663376,27.2705746,7.6173887,73.6748047,70.7569275,63.6348190,57.6225357,59.2760658,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,55.1140175,79.5614624,73.2588043,69.9576492,65.0095062,88.7314682,0.0000000,79.4199371,53.5681839,0.1024907,29.3773651,6.4574804,18.1,82.6,21.7,-122.2,4.00,6.4,78.2,20.3,-124.8,4.00,0.20,417.3,
L,2021,03,08,10,8,10,21,8,10,14,332,183,21.7,14.8,81.4439774,79.6238403,70.7050323,61.0208282,54.1236572,28.3934765,7.9395361,73.7106323,70.9653244,64.1994781,58.8358269,60.9648323,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,59.7069817,79.9359207,73.7518845,70.7778168,67.0129471,93.3415375,0.0000000,85.3114243,56.6119385,0.1044713,30.3952446,6.7039824,15.8,81.5,21.9,-121.8,4.00,4.4,84.4,20.5,-124.4,4.00,0.20,417.3,
L,2021,03,08,10,8,10,21,8,10,14,332,184,21.7,14.7,78.7296982,77.3425827,71.5962906,60.5486870,53.0781136,27.9467220,7.6762519,74.8176727,71.9321518,64.9436493,58.9358368,60.6736069,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,58.2152176,81.4650650,75.1497345,71.9714355,66.9824066,90.7416229,0.0000000,83.2947922,55.6905975,0.1043255,29.9397411,6.5279469,13.5,80.0,22.1,-121.4,4.00,2.2,78.7,20.7,-124.0,4.00,0.20,417.3,
L,2021,03,08,10,8,10,21,8,10,14,333,178,21.7,14.7,76.1945648,71.5924759,71.9447250,61.3903732,45.2553291,23.9471779,6.9949560,74.9426117,72.1937256,65.0083466,59.2050438,60.4959068,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,52.6184387,79.2656021,73.4049759,70.7543564,67.1613541,87.3370056,0.0000000,78.0831604,48.2590866,0.0746180,26.1172447,5.9948130,27.1,81.9,20.7,-123.1,4.00,15.1,80.0,19.4,-125.9,4.00,0.18,416.6,
L,2021,03,08,10,8,10,21,8,10,14,333,179,21.7,14.7,68.5306625,66.6047668,67.6037064,54.4883270,43.3026772,22.7082367,6.4402046,72.4118729,68.7791672,60.4016113,53.4539680,54.4294052,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,49.2775459,76.9708710,70.1189575,65.7828445,59.7111893,78.8551178,0.0000000,72.4105835,45.9397049,0.0816235,24.5335522,5.5822716,25.0,81.2,21.0,-122.7,4.00,13.1,82.7,19.6,-125.5,4.00,0.21,416.6,
L,2021,03,08,10,8,10,21,8,10,14,333,180,21.7,14.7,68.1850281,66.1202087,67.7504272,55.1689301,42.5152016,21.8192654,6.1420174,72.1259308,68.7337570,60.7151184,54.1347504,55.2696114,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,48.9336739,77.0692902,70.4314346,66.3773117,60.6279831,78.4280396,0.0000000,71.8641281,45.0482674,0.0901893,23.8169250,5.3401527,22.9,80.5,21.2,-122.4,4.00,11.1,81.2,19.8,-125.1,4.00,0.21,417.3,
L,2021,03,08,10,8,10,21,8,10,14,333,181,21.7,14.7,72.4117355,70.5791321,69.8886261,58.6305695,48.0809746,25.5814877,6.8493328,73.1537094,70.3878708,63.1819382,57.3088379,58.8141708,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,52.2589417,78.4733810,72.4022598,69.1629944,64.2328262,82.8808136,0.0000000,76.1601486,50.6707687,0.0992442,27.4717770,5.8683481,20.8,81.7,21.4,-122.0,4.00,9.0,79.4,20.0,-124.7,4.00,0.21,416.6,
L,2021,03,08,10,8,10,21,8,10,14,333,182,21.7,14.7,75.6600494,72.8508987,70.8810959,59.9389534,49.7834740,26.6330967,7.1872702,73.8642807,71.1978149,64.2323914,58.4325752,60.0738602,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,53.8430176,79.6811066,73.6630630,70.6026840,65.7903137,86.6258926,0.0000000,78.3802795,52.2349358,0.1003539,28.4860268,6.1332846,18.5,80.9,21.6,-121.7,4.00,7.0,83.2,20.2,-124.2,4.00,0.20,417.3,
L,2021,03,08,10,8,10,21,8,10,14,333,183,21.6,14.7,76.6668625,74.7585907,70.9438324,60.0198517,51.2809372,27.0428009,7.3387260,74.0850372,71.2952957,64.3237457,58.4502106,60.1445885,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,55.5765305,80.2917175,74.1466751,70.9756927,66.1218872,87.9776535,0.0000000,80.4953232,53.8210945,0.0999397,29.0621624,6.2437978,16.3,82.5,21.8,-121.3,4.00,4.8,80.7,20.4,-123.8,4.00,0.20,417.3,
L,2021,03,08,10,8,10,21,8,10,14,333,184,21.6,14.7,81.8510437,78.1356201,73.7110672,64.5158920,52.9702835,27.8878651,7.4748411,75.4314957,73.2970657,67.6408997,62.5534172,64.6598663,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,58.1804047,82.0725327,76.6252823,74.7470169,70.9441910,93.4686050,0.0000000,83.7900620,55.4329948,0.0974225,29.8282986,6.3356681,13.9,81.5,22.0,-121.0,4.00,2.8,73.1,20.6,-123.4,4.00,0.19,417.3,
L,2021,03,08,10,8,10,21,8,10,14,334,176,21.6,14.7,92.5647354,82.1705093,83.5641708,78.4707108,49.5593109,26.4647217,7.6911092,81.1812134,81.1468124,77.5115585,74.0203552,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,59.6500168,84.7569580,82.0303192,83.8745117,84.9993515,104.3665848,0.0000000,89.2574387,52.5084496,0.0746454,28.7074509,6.4808116,31.4,82.0,20.2,-123.4,4.00,19.5,81.4,18.8,-126.3,4.00,0.14,417.3,
L,2021,03,08,10,8,10,21,8,10,14,334,177,21.6,14.7,82.3639679,77.2330856,79.8187027,72.5987625,46.5140305,24.0389061,6.8438692,79.2942200,78.3692627,73.4080658,69.4796906,68.3065872,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,56.2072334,83.4211655,79.8269501,80.1138458,79.6221542,93.5631943,0.0000000,84.4542236,49.7200851,0.0771297,26.5127602,5.8062291,29.4,81.3,20.4,-123.0,4.00,17.5,80.5,19.0,-125.8,4.00,0.16,416.6,
L,2021,03,08,10,8,10,21,8,10,14,334,178,21.6,14.7,78.2319717,75.7537384,76.2117004,68.0019379,46.2801628,23.6567554,6.5822768,77.0644608,75.4161148,69.6890106,65.3130569,66.3735428,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,55.3532257,81.4200592,76.9526901,76.0970688,74.5711746,89.2711029,0.0000000,82.7426376,49.3010063,0.0868851,25.9216614,5.5991964,27.5,80.6,20.6,-122.6,4.00,15.6,82.4,19.2,-125.4,4.00,0.21,417.3,
L,2021,03,08,10,8,10,21,8,10,14,334,179,21.6,14.7,69.3395081,67.6104889,68.4540176,55.1436195,45.2040634,23.7805614,6.6845450,73.0632782,69.5783539,61.2039146,54.1736336,55.2240486,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,49.8424644,77.4166641,70.6237106,66.3774948,60.1900024,79.9029007,0.0000000,73.5322800,48.0438385,0.0884064,25.9341011,5.8239999,25.5,81.8,20.8,-122.2,4.00,13.6,81.4,19.4,-124.9,4.00,0.21,416.6,
L,2021,03,08,10,8,10,21,8,10,14,334,180,21.6,14.7,70.6074524,69.0510559,67.7135010,54.5301781,47.1077766,24.9892921,7.0474052,72.6475525,69.0047684,60.4052353,53.4219933,54.5667229,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,50.7782516,77.3449936,70.2689514,65.6386795,59.4272346,81.0020828,0.0000000,74.5350113,49.6425972,0.0842916,26.8875637,6.0547171,23.4,81.0,21.0,-121.8,4.00,11.5,79.7,19.6,-124.5,4.00,0.22,416.6,
L,2021,03,08,10,8,10,21,8,10,14,334,181,21.6,14.6,78.1203156,74.8941498,70.0728455,59.4615135,50.6665421,26.7739849,7.5343337,73.4811172,70.5653687,63.3040123,57.4910851,59.3499527,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,54.8988953,78.7946930,72.4795532,69.1126328,64.7757874,89.2946548,0.0000000,80.2876968,53.0537262,0.0800886,28.7613716,6.4020400,21.2,82.4,21.2,-121.5,4.00,9.5,83.0,19.8,-124.1,4.00,0.19,416.6,
L,2021,03,08,10,8,10,21,8,10,14,334,182,21.6,14.6,77.4134674,73.4925690,69.8971176,59.4373894,48.8239365,25.7982712,7.3105621,73.4121246,70.4193497,63.2216949,57.5023804,59.3874397,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,54.1785393,79.2234573,72.8812866,69.5077591,65.2839966,88.7728729,0.0000000,79.0903702,51.3640556,0.0773808,27.9171276,6.2523785,19.0,81.5,21.4,-121.1,4.00,7.4,81.3,20.0,-123.7,4.00,0.19,417.3,
L,2021,03,08,10,8,10,21,8,10,14,334,183,21.6,14.6,78.0202866,73.4652328,70.8607330,59.4307175,49.5750618,26.4310856,7.5620279,74.7199631,71.4943237,63.9690628,57.6573792,59.3956413,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,54.5181007,81.1133652,74.4961777,70.8204422,65.7298355,89.8032990,0.0000000,79.3986206,52.1734543,0.0816045,28.5166645,6.4193797,16.8,80.2,21.6,-120.8,4.00,5.3,77.6,20.2,-123.3,4.00,0.18,417.3,
L,2021,03,08,10,8,10,21,8,10,14,334,184,21.6,14.6,83.9498367,80.2484818,72.1052704,63.2674828,54.8166580,28.8840904,7.8411603,74.4150314,71.9596252,65.9021683,60.9239960,63.2240067,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,59.5040321,80.8893661,74.9769135,72.5904846,69.1760406,95.5852661,0.0000000,85.4512863,56.9646454,0.0863717,30.6629143,6.5906553,14.5,82.3,21.9,-120.4,4.00,3.2,86.7,20.4,-122.9,4.00,0.19,417.3,
L,2021,03,08,10,8,10,21,8,10,14,334,185,21.6,14.6,91.3689728,86.5652618,73.9134216,67.0086441,58.6788216,31.0533543,8.6113901,75.5447464,73.3711395,67.8946915,63.7120018,66.7046585,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,63.9895058,82.3782806,76.7107391,75.0251083,73.3452911,104.0760422,0.0000000,92.1560822,61.0094261,0.0915709,33.0149994,7.1991668,12.1,80.7,22.1,-120.1,4.00,1.1,76.2,20.6,-122.5,4.00,0.18,417.3,
