Land/Sea,ERA5Year,ERA5Month,ERA5Day,ERA5Hour,MODIS_Day,MODIS_Hour,MODIS_Minute,VIIRSDay,VIIRSHour,VIIRSMinute,iPos,jPos,DeltaTime1,DeltaTime2,B1_MODIS,B2_MODIS,B3_MODIS,B4_MODIS,B5_MODIS,B6_MODIS,B7_MODIS,B8_MODIS,B9_MODIS,B10_MODIS,B11_MODIS,B12_MODIS,B13_MODIS,B14_MODIS,B15_MODIS,B16_MODIS,B17_MODIS,B18_MODIS,B19_MODIS,B1_VIIRS,B2_VIIRS,B3_VIIRS,B4_VIIRS,B5_VIIRS,B6_VIIRS,B7_VIIRS,B8_VIIRS,B9_VIIRS,B10_VIIRS,B11_VIIRS,VZA_MODIS,VAA_MODIS,SZA_MODIS,SAA_MODIS,CLM_MODIS,VZA_VIIRS,VAA_VIIRS,SZA_VIIRS,SAA_VIIRS,CLM_VIIRS,NDVI,dTime
L,2021,03,05,13,5,13,15,5,13,0,239,1412,15.3,0.4,67.6571198,51.2673073,76.2467117,63.1796989,27.7078419,14.8785133,5.1196175,77.6953659,76.0209427,68.2515182,60.8540154,60.5951004,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,39.2384987,77.6606674,73.9823380,71.0584106,65.5416260,71.5640793,0.0000000,52.8312569,28.5450687,0.2042907,15.9738903,4.0487566,49.6,76.7,37.0,-165.4,3.97,47.7,76.4,36.4,-171.4,3.93,0.07,895.2,
L,2021,03,05,13,5,13,15,5,13,0,239,1413,15.3,0.3,63.7467308,48.2865677,71.4355316,59.8210754,26.0264587,14.9650850,5.2907739,73.4961624,71.5867233,63.7242546,57.9944191,59.5900726,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.3855858,73.8934555,69.8969498,66.4484329,61.9209290,66.9186096,0.0000000,49.2914009,26.7909012,0.0747304,15.7419939,4.0935698,48.5,76.5,37.1,-165.0,4.00,46.7,76.1,36.5,-171.0,3.99,0.06,895.5,
L,2021,03,05,13,5,13,15,5,13,0,239,1414,15.3,0.3,60.9921799,45.6350403,69.0207901,56.7321205,24.3981285,13.4140024,4.7295394,71.0661087,69.1560135,61.5280151,55.3341064,56.6639404,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,35.3891029,71.7444916,67.8355560,64.4466553,59.0562668,64.2770844,0.0000000,46.8391991,25.1200314,0.0895688,14.1956940,3.7030478,47.4,77.0,37.2,-164.6,4.00,45.7,75.7,36.5,-170.6,4.00,0.06,895.2,
L,2021,03,05,13,5,13,15,5,13,0,239,1415,15.2,0.3,66.7630920,50.7722588,71.4481964,60.6808014,27.6332283,15.1703243,5.4094725,72.2686615,70.9773560,64.1386414,58.6682129,60.2824097,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,39.9108276,73.1397476,69.7819290,67.1702347,62.9515190,70.3363113,0.0000000,51.7707558,28.2542858,0.1008509,16.0829525,4.2257609,46.3,77.6,37.2,-164.2,4.00,44.7,76.3,36.5,-170.2,4.00,0.06,895.2,
L,2021,03,05,13,5,13,15,5,13,0,239,1416,15.2,0.3,73.8911972,57.4206161,74.4429626,66.2522812,32.3743973,18.3495522,6.4325061,73.9266968,73.3446960,67.4027176,63.2305946,65.1114731,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,44.7971764,75.0028687,72.2252731,70.4795303,68.1909485,77.1206894,0.0000000,58.0596504,32.8414536,0.0882450,19.0040112,5.0080371,45.1,77.3,37.3,-163.8,4.00,43.6,77.0,36.6,-169.8,4.00,0.06,895.8,
L,2021,03,05,13,5,13,15,5,13,0,239,1417,15.2,0.3,75.1189804,60.0638885,74.3409424,66.2373199,33.4250145,18.1805859,6.2518353,73.8593750,73.3203049,67.3993759,63.1962738,65.5909958,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,46.5565872,75.2667313,72.4844360,70.8110657,68.6448593,78.9349899,0.0000000,60.8423119,33.7800140,0.0827721,18.9277554,4.8621144,43.8,76.9,37.3,-163.4,3.98,42.5,76.7,36.6,-169.4,3.98,0.08,895.8,
L,2021,03,05,13,5,13,15,5,13,0,239,1418,15.2,0.3,68.2950516,53.2698402,70.5045471,61.1876183,32.0304604,18.1664829,6.3046241,71.0391159,69.9026108,63.5934372,58.7431831,60.8064499,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,41.7343597,72.8615265,69.6178207,67.4290161,64.3037033,73.1917725,0.0000000,55.1635628,33.0547371,0.0865535,19.2761669,5.0118113,42.6,77.4,37.4,-163.0,4.00,41.3,76.3,36.7,-169.0,4.00,0.07,895.2,
L,2021,03,05,13,5,13,15,5,13,0,239,1419,15.2,0.3,80.9794159,63.0076866,74.0824738,69.7116241,37.7498550,21.4603100,7.5074763,72.5075531,72.4820251,67.6294022,65.1271973,67.5653458,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,48.9826508,74.3769608,72.0856705,71.2157898,72.0250549,85.4256287,0.0000000,63.9475479,38.1040878,0.0930245,22.3701458,5.8547273,41.3,77.1,37.5,-162.6,4.00,40.2,77.1,36.7,-168.6,4.00,0.06,895.8,
L,2021,03,05,13,5,13,15,5,13,0,240,1411,15.2,0.3,75.3641205,57.8923531,78.6845627,68.6275177,31.8725510,17.6726627,6.0267277,78.9060135,77.8525009,70.8815231,65.7762070,64.7365646,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,43.1804085,79.0923233,76.0669174,74.1090164,71.0933609,80.0428619,0.0000000,59.3351517,32.7070274,0.0753790,18.6363564,4.7344141,50.9,76.6,36.8,-165.7,4.00,49.0,75.6,36.2,-171.8,4.00,0.06,894.8,
L,2021,03,05,13,5,13,15,5,13,0,240,1412,15.2,0.3,74.4137878,55.9783821,77.2924957,67.2154770,32.4273682,18.3786488,6.2894268,78.0424042,76.8005676,69.5061798,64.3935242,65.9657974,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,41.7074394,78.4764404,75.1159897,72.5932999,69.4676819,78.5991821,0.0000000,57.0517883,32.9897881,0.0708712,19.2624378,4.8843641,49.9,76.3,36.8,-165.3,4.00,48.0,75.2,36.2,-171.4,4.00,0.05,895.2,
L,2021,03,05,13,5,13,15,5,13,0,240,1413,15.2,0.3,68.3015747,51.1506462,73.7039795,62.9038315,30.1792660,17.4744186,6.1062174,75.3089066,73.5994949,65.9568405,60.5087967,62.4014587,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,38.9616814,75.8691711,72.0664291,68.9660645,65.2388763,72.2132721,0.0000000,52.4416924,30.9649239,0.0764991,18.4180088,4.7981830,48.8,76.8,36.9,-164.9,4.00,47.1,75.8,36.2,-171.0,4.00,0.05,895.2,
L,2021,03,05,13,5,13,15,5,13,0,240,1414,15.2,0.3,74.2815094,56.1691780,75.6736984,66.7680740,32.3319702,18.8163414,6.5074463,75.8146591,74.8430481,68.1872940,63.6033211,61.8748894,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,42.9448090,76.7045288,73.7014236,71.6206894,69.3732910,79.0096664,0.0000000,57.8344650,33.5272675,0.0812286,19.7043934,5.1694818,47.8,77.4,36.9,-164.5,4.00,46.1,76.5,36.2,-170.6,4.00,0.05,895.5,
L,2021,03,05,13,5,13,15,5,13,0,240,1415,15.2,0.2,76.2067871,58.8140068,74.6879578,66.5427170,33.8995285,19.1957626,6.7746196,74.6846085,73.7688675,67.4975662,63.1555786,63.5335464,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,45.3333511,75.7254639,72.6567612,70.7975616,68.8759155,80.4534378,0.0000000,59.8466187,34.6887550,0.0813091,20.1452465,5.4028640,46.6,77.0,37.0,-164.1,4.00,45.0,76.1,36.3,-170.1,4.00,0.06,895.5,
L,2021,03,05,13,5,13,15,5,13,0,240,1416,15.2,0.2,70.0455933,53.1327515,72.5033493,63.3609810,31.2560329,18.0899239,6.3161736,73.2643814,72.0108414,65.2747726,60.5573845,60.9327126,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,40.8339272,74.4686127,71.0209427,68.5143204,65.6886215,73.7856064,0.0000000,54.1422348,31.9905052,0.0772086,18.9213409,5.0223789,45.5,77.5,37.0,-163.7,4.00,44.0,76.7,36.3,-169.7,4.00,0.06,895.5,
L,2021,03,05,13,5,13,15,5,13,0,240,1417,15.1,0.2,84.0572433,65.1774445,77.1615372,72.2184448,37.8526382,21.5405312,7.4814448,75.2662582,75.3257523,70.5252304,67.7066879,64.5806961,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,49.8964958,76.5650330,74.3619080,73.8903122,74.3226929,88.7266693,0.0000000,66.1676483,38.5172005,0.0741966,22.4926376,5.8969169,44.3,78.1,37.1,-163.3,4.00,42.9,76.4,36.3,-169.3,3.98,0.06,895.2,
L,2021,03,05,13,5,13,15,5,13,0,240,1418,15.1,0.2,82.5785141,65.8834381,76.6879883,71.2448502,37.4793510,20.6619263,7.1205497,74.7343140,74.7957382,70.0944824,67.0230713,67.7186966,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,50.5994911,76.2358704,74.0148544,73.4585800,73.2814636,86.7162323,0.0000000,66.6001663,37.8651161,0.0730280,21.5276146,5.5962214,43.1,77.8,37.2,-162.9,4.00,41.8,77.1,36.4,-168.9,3.99,0.07,895.5,
L,2021,03,05,13,5,13,15,5,13,0,240,1419,15.1,0.2,89.4574738,70.1002426,77.6200867,74.4733887,41.0416107,23.1501026,7.9371696,74.7700577,75.3670731,71.3811951,69.2586288,66.6955414,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,54.6586342,76.8919525,75.2051926,75.5068817,77.2589569,95.4511948,0.0000000,71.8721085,41.9218941,0.1014722,24.1902046,6.2179728,41.8,78.4,37.2,-162.6,4.00,40.6,76.7,36.4,-168.5,3.98,0.06,895.5,
L,2021,03,05,13,5,13,15,5,13,0,241,1407,15.2,0.3,66.2099152,51.1718216,71.5814056,59.7942467,27.7337036,15.3833694,5.2648349,74.6993484,71.9658508,63.6416283,57.5185127,59.3546104,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,41.2088928,74.8531876,70.4609299,67.2480240,63.2016869,71.8043747,0.0000000,53.7567635,29.3932686,0.1997616,16.8697376,4.0049396,55.1,75.7,36.3,-167.3,4.00,52.9,75.7,35.8,-173.4,4.00,0.06,895.5,
